decision_id,entry_ts,direction,entry_mode,entry_price,sl,tp1,tp2,atr_m30,score,score_detail,exit_ts,exit_reason,exit_price,pnl_usd,duration_min,mfe_pts,mae_pts
0b00de12,2026-05-05 22:03:54.967214+00:00,SHORT,,4533.5,4553.5,4513.5,4483.5,14.8,1,production_score,2026-05-05 22:04:00+00:00,SL_HIT,4553.5,-120.0,0,0.0,30.199999999999818
6082b493,2026-05-05 22:04:02.143627+00:00,LONG,,4532.15,4512.15,4552.15,4582.15,14.8,1,production_score,2026-05-05 23:02:00+00:00,TP1_THEN_TP2,4582.15,210.0,57,55.05000000000018,0.0
b944b4df,2026-05-06 00:48:38.419206+00:00,SHORT,,4589.35,4609.35,4569.35,4539.35,22.6,1,production_score,2026-05-06 00:49:00+00:00,SL_HIT,4609.35,-120.0,0,0.0,30.849999999999454
48f1836a,2026-05-06 00:49:45.254270+00:00,SHORT,,4590.2,4610.2,4570.2,4540.2,22.6,1,production_score,2026-05-06 01:03:00+00:00,SL_HIT,4610.2,-120.0,13,0.0,38.80000000000018
274fd8c6,2026-05-06 01:08:04.773470+00:00,SHORT,,4591.2,4611.2,4571.2,4541.2,34.05,1,production_score,2026-05-06 01:09:00+00:00,SL_HIT,4611.2,-120.0,0,0.0,31.900000000000546
3029dea0,2026-05-06 02:01:09.172183+00:00,SHORT,,4605.85,4625.85,4585.85,4555.85,39.95,1,production_score,2026-05-06 02:13:00+00:00,SL_HIT,4625.85,-120.0,11,0.0,33.75
ef439969,2026-05-06 04:09:08.825798+00:00,SHORT,,4624.75,4644.75,4604.75,4574.75,4.13,1,production_score,2026-05-06 04:20:00+00:00,SL_HIT,4644.75,-120.0,10,0.0,34.44999999999982
b585d8bd,2026-05-06 04:22:16.959391+00:00,SHORT,,4625.6,4645.6,4605.6,4575.6,40.7,1,production_score,2026-05-06 04:23:00+00:00,SL_HIT,4645.6,-120.0,0,0.0,31.0
2e6ce41a,2026-05-06 04:23:49.763915+00:00,SHORT,RANGE,4625.3,4645.3,4605.3,4575.3,4.01,1,production_score,2026-05-06 04:37:00+00:00,SL_HIT,4645.3,-120.0,13,0.0,39.099999999999454
58286705,2026-05-06 04:38:57.532747+00:00,SHORT,,4628.95,4648.95,4608.95,4578.95,42.65,1,production_score,2026-05-06 04:39:00+00:00,SL_HIT,4648.95,-120.0,0,0.0,31.350000000000364
4317e347,2026-05-06 04:39:01.515388+00:00,SHORT,,4628.6,4648.6,4608.6,4578.6,42.65,1,production_score,2026-05-06 04:40:00+00:00,SL_HIT,4648.6,-120.0,0,0.0,31.799999999999272
cd71fd48,2026-05-06 04:40:45.934848+00:00,SHORT,,4629.25,4649.25,4609.25,4579.25,42.65,1,production_score,2026-05-06 04:41:00+00:00,SL_HIT,4649.25,-120.0,0,0.0,31.350000000000364
76b868ab,2026-05-06 04:41:08.797191+00:00,SHORT,,4629.25,4649.25,4609.25,4579.25,42.65,1,production_score,2026-05-06 04:42:00+00:00,SL_HIT,4649.25,-120.0,0,0.0,29.949999999999818
cf00209a,2026-05-06 04:42:28.581582+00:00,SHORT,,4627.2,4647.2,4607.2,4577.2,42.65,1,production_score,2026-05-06 04:43:00+00:00,SL_HIT,4647.2,-120.0,0,0.0,30.300000000000182
e9a27b8d,2026-05-06 04:44:11.996626+00:00,SHORT,,4626.4,4646.4,4606.4,4576.4,42.65,1,production_score,2026-05-06 04:45:00+00:00,SL_HIT,4646.4,-120.0,0,0.0,33.0
5da14cb2,2026-05-06 07:11:56.591074+00:00,LONG,,4644.3,4624.3,4664.3,4694.3,20.75,1,production_score,2026-05-06 08:50:00+00:00,TP1_THEN_TP2,4694.3,210.0,98,67.30000000000018,0.0
d304e419,2026-05-06 10:09:28.982927+00:00,LONG,,4677.65,4657.65,4697.65,4727.65,17.1,1,production_score,2026-05-06 10:53:00+00:00,TP1_THEN_TP2,4727.65,210.0,43,50.75,0.0
0009f974,2026-05-06 14:07:43.636583+00:00,LONG,,4680.75,4660.75,4700.75,4730.75,33.05,1,production_score,2026-05-06 14:30:00+00:00,TP1_THEN_BE,4716.1,166.0500000000011,22,47.94999999999982,0.0
5f48bc2a,2026-05-06 14:30:27.645303+00:00,LONG,,4686.4,4666.4,4706.4,4736.4,24.85,1,production_score,2026-05-06 14:54:00+00:00,TP1_THEN_BE,4712.7,138.90000000000055,23,39.600000000000364,0.0
4e11ee2a,2026-05-06 14:56:52.907631+00:00,LONG,RANGE,4685.95,4665.95,4705.95,4735.95,19.7,1,production_score,2026-05-06 15:34:00+00:00,TP1_THEN_BE,4705.2,117.75,37,31.350000000000364,0.0
f49c0c16,2026-05-06 17:31:05.970754+00:00,LONG,,4662.05,4642.05,4682.05,4712.05,12.35,1,production_score,2026-05-06 20:46:00+00:00,TP1_THEN_BE,4698.2,168.4499999999989,194,48.94999999999982,0.0
145d3e9e,2026-05-06 22:02:47.447506+00:00,LONG,,4672.0,4652.0,4692.0,4722.0,23.7,1,production_score,2026-05-07 00:42:00+00:00,TP1_THEN_BE,4697.2,135.59999999999945,159,38.30000000000018,0.0
7c487e6b,2026-05-07 01:06:20.429433+00:00,LONG,OVEREXTENSION,4670.8,4650.8,4690.8,4720.8,15.85,1,production_score,2026-05-07 01:16:00+00:00,TP1_THEN_TP2,4720.8,210.0,9,51.599999999999454,0.0
503ce5be,2026-05-07 01:36:01.108784+00:00,SHORT,,4685.75,4705.75,4665.75,4635.75,31.35,1,production_score,2026-05-07 01:37:00+00:00,SL_HIT,4705.75,-120.0,0,0.0,32.25
f214895a,2026-05-07 01:37:09.723745+00:00,SHORT,OVEREXTENSION,4686.75,4706.75,4666.75,4636.75,31.35,1,production_score,2026-05-07 01:42:00+00:00,SL_HIT,4706.75,-120.0,4,0.0,40.55000000000018
4c65ef01,2026-05-07 01:43:32.104343+00:00,SHORT,OVEREXTENSION,4689.3,4709.3,4669.3,4639.3,31.6,1,production_score,2026-05-07 01:44:00+00:00,SL_HIT,4709.3,-120.0,0,0.0,33.5
2518e124,2026-05-07 01:44:41.933003+00:00,SHORT,,4690.45,4710.45,4670.45,4640.45,31.6,1,production_score,2026-05-07 01:45:00+00:00,SL_HIT,4710.45,-120.0,0,0.0,31.850000000000364
621b33b3,2026-05-07 02:48:42.665523+00:00,SHORT,,4683.3,4703.3,4663.3,4633.3,35.8,1,production_score,2026-05-07 02:49:00+00:00,SL_HIT,4703.3,-120.0,0,0.0,32.19999999999982
0df789e5,2026-05-07 02:50:07.388847+00:00,SHORT,,4684.25,4704.25,4664.25,4634.25,35.8,1,production_score,2026-05-07 02:51:00+00:00,SL_HIT,4704.25,-120.0,0,0.0,31.449999999999818
2488ca23,2026-05-07 02:51:35.887540+00:00,SHORT,,4683.65,4703.65,4663.65,4633.65,35.8,1,production_score,2026-05-07 02:52:00+00:00,SL_HIT,4703.65,-120.0,0,0.0,30.350000000000364
e2b99700,2026-05-07 02:53:50.607416+00:00,SHORT,,4682.45,4702.45,4662.45,4632.45,35.8,1,production_score,2026-05-07 02:54:00+00:00,SL_HIT,4702.45,-120.0,0,0.0,33.05000000000018
271addde,2026-05-07 02:56:05.505485+00:00,SHORT,,4683.9,4703.9,4663.9,4633.9,35.8,1,production_score,2026-05-07 02:57:00+00:00,SL_HIT,4703.9,-120.0,0,0.0,33.900000000000546
95e9d542,2026-05-07 02:57:20.550483+00:00,SHORT,OVEREXTENSION,4686.1,4706.1,4666.1,4636.1,35.8,1,production_score,2026-05-07 02:58:00+00:00,SL_HIT,4706.1,-120.0,0,0.0,32.5
5bab4f46,2026-05-07 02:58:56.685747+00:00,SHORT,,4686.8,4706.8,4666.8,4636.8,35.8,1,production_score,2026-05-07 02:59:00+00:00,SL_HIT,4706.8,-120.0,0,0.0,31.099999999999454
8a1480c7,2026-05-07 03:00:06.414490+00:00,SHORT,,4685.35,4705.35,4665.35,4635.35,35.8,1,production_score,2026-05-07 03:01:00+00:00,SL_HIT,4705.35,-120.0,0,0.0,29.25
cdef383b,2026-05-07 03:01:44.834277+00:00,SHORT,,4683.15,4703.15,4663.15,4633.15,35.8,1,production_score,2026-05-07 03:02:00+00:00,SL_HIT,4703.15,-120.0,0,0.0,32.45000000000073
301ea97b,2026-05-07 03:02:57.475595+00:00,SHORT,OVEREXTENSION,4684.25,4704.25,4664.25,4634.25,35.8,1,production_score,2026-05-07 03:03:00+00:00,SL_HIT,4704.25,-120.0,0,0.0,31.550000000000182
9378167f,2026-05-07 03:04:50.918431+00:00,SHORT,OVEREXTENSION,4683.7,4703.7,4663.7,4633.7,35.8,1,production_score,2026-05-07 03:10:00+00:00,SL_HIT,4703.7,-120.0,5,0.0,34.900000000000546
15810fce,2026-05-07 03:11:50.948258+00:00,SHORT,,4685.35,4705.35,4665.35,4635.35,35.8,1,production_score,2026-05-07 03:12:00+00:00,SL_HIT,4705.35,-120.0,0,0.0,30.649999999999636
a2d2c3b5,2026-05-07 03:13:31.944590+00:00,LONG,,4682.25,4662.25,4702.25,4732.25,35.8,1,production_score,2026-05-07 04:36:00+00:00,TP1_THEN_BE,4703.3,123.15000000000055,82,33.25,0.0
ea701099,2026-05-07 04:40:09.748653+00:00,SHORT,PULLBACK,4673.35,4693.35,4653.35,4623.35,28.15,1,production_score,2026-05-07 04:41:00+00:00,SL_HIT,4693.35,-120.0,0,0.0,33.94999999999982
bcb5af24,2026-05-07 04:41:29.820336+00:00,SHORT,,4675.9,4695.9,4655.9,4625.9,28.15,1,production_score,2026-05-07 04:42:00+00:00,SL_HIT,4695.9,-120.0,0,0.0,31.200000000000728
3d2f7c0f,2026-05-07 04:43:06.539522+00:00,SHORT,,4675.75,4695.75,4655.75,4625.75,28.15,1,production_score,2026-05-07 04:44:00+00:00,SL_HIT,4695.75,-120.0,0,0.0,30.949999999999818
f37099ce,2026-05-07 04:44:45.705650+00:00,SHORT,,4675.4,4695.4,4655.4,4625.4,28.15,1,production_score,2026-05-07 04:45:00+00:00,SL_HIT,4695.4,-120.0,0,0.0,31.200000000000728
f754a1bc,2026-05-07 04:45:02.033286+00:00,SHORT,PULLBACK,4675.4,4695.4,4655.4,4625.4,28.15,1,production_score,2026-05-07 04:46:00+00:00,SL_HIT,4695.4,-120.0,0,0.0,31.400000000000546
