box_id,first_bar,first_confirmed,last_bar,bars_total,bars_confirmed,box_high,box_low,liq_top,liq_bot,fmv_computed,fmv_stored,fmv_match,bull_ext,bear_ext,classify,liq_extension_top_pts,liq_extension_bot_pts
0,05-06 00:00,,05-07 19:30,29,0,,,,,,,False,False,False,unknown,,
5278,05-06 04:30,05-06 05:00,05-06 07:00,6,5,4660.6,4648.0,4681.4,4648.0,4654.3,4654.3,True,True,False,bullish,20.8,0.0
5279,05-06 17:00,,05-07 11:00,14,0,4709.3,4691.0,4763.6,4689.8,4700.15,4700.15,True,True,True,unknown,54.3,1.2
5280,05-06 19:00,05-06 19:30,05-06 23:30,8,7,4703.5,4689.8,4711.0,4689.8,4696.65,4696.65,True,True,False,bullish,7.5,0.0
5281,05-07 00:00,05-07 01:00,05-07 03:30,8,6,4708.9,4699.3,4730.5,4694.0,4704.1,4704.1,True,True,True,unknown,21.6,5.3
5282,05-07 04:00,05-07 04:30,05-07 05:00,3,2,4718.6,4707.8,4718.6,4700.4,4713.2,4713.200000000001,True,False,True,bearish,0.0,7.4
5283,05-07 05:30,05-07 06:00,05-07 06:00,2,1,4709.8,4700.4,4726.6,4700.4,4705.1,4705.1,True,True,False,bullish,16.8,0.0
5284,05-07 11:30,05-07 12:30,05-07 19:00,16,14,4749.3,4735.4,4775.0,4696.6,4742.35,4742.35,True,True,True,unknown,25.7,38.8
5285,05-07 20:00,05-08 01:30,05-08 05:00,17,8,4725.4,4705.9,4741.4,4671.0,4715.65,4715.65,True,True,True,unknown,16.0,34.9
5286,05-08 05:30,05-08 06:00,05-08 11:30,13,12,4731.3,4717.5,4743.5,4707.3,4724.4,4724.4,True,True,True,unknown,12.2,10.2
5287,05-08 12:00,05-08 15:00,05-08 15:30,8,2,4737.7,4723.2,4760.4,4709.6,4730.45,4730.45,True,True,True,unknown,22.7,13.6
