vap_id,created_at,direction,entry,sl,tp1,tp2,exit_event,exit_at,exit_price,duration_min,n_events
b944b4df,05-06 00:48:38,SHORT,,,,,MACRO_VIRTUAL_SL,05-06 02:14:43,,86.0,3
fabb5f98,05-06 07:32:03,LONG,,,,,MACRO_VIRTUAL_TP1,05-06 08:50:19,,78.0,3
0009f974,05-06 14:07:45,LONG,,,,,MACRO_VIRTUAL_SL,05-06 17:00:28,,172.0,4
a606be7c,05-06 20:31:13,LONG,,,,,,,,,1
29362996,05-07 01:13:12,SHORT,,,,,MACRO_VAP_SUPERSEDED,05-07 03:13:33,,120.0,2
a2d2c3b5,05-07 03:13:33,LONG,,,,,MACRO_VAP_SUPERSEDED,05-07 03:23:44,,10.0,2
0d8d2454,05-07 03:23:44,SHORT,,,,,MACRO_VAP_SUPERSEDED,05-07 03:24:41,,0.0,2
eae264fc,05-07 03:24:41,LONG,,,,,MACRO_VIRTUAL_SL,05-07 03:24:41,,0.0,3
5f2925df,05-07 03:25:39,SHORT,,,,,MACRO_VAP_SUPERSEDED,05-07 03:26:42,,1.0,2
e519b883,05-07 03:26:42,LONG,,,,,MACRO_VAP_SUPERSEDED,05-07 03:28:37,,1.0,2
31851694,05-07 03:28:37,SHORT,,,,,MACRO_VAP_SUPERSEDED,05-07 03:35:56,,7.0,2
607e9b6f,05-07 03:35:56,LONG,,,,,MACRO_VAP_SUPERSEDED,05-07 04:40:11,,64.0,2
05e64fbe,05-07 04:40:11,SHORT,,,,,MACRO_REGIME_FLIP_M30,05-07 06:03:54,,83.0,3
eb05528c,05-07 06:04:18,LONG,,,,,MACRO_VIRTUAL_SL,05-07 06:04:18,,0.0,3
079fc613,05-07 10:08:26,LONG,,,,,,,,,1
09b7c2ff,05-07 17:58:34,SHORT,,,,,MACRO_REGIME_FLIP_M30,05-07 20:06:37,,128.0,3
1915800c,05-07 20:39:52,LONG,,,,,MACRO_VIRTUAL_SL,05-07 22:00:21,,80.0,3
87a043c4,05-07 23:02:39,SHORT,,,,,MACRO_REGIME_FLIP_M30,05-07 23:39:53,,37.0,4
01e7d1c5,05-08 01:31:05,LONG,,,,,MACRO_VIRTUAL_TP1,05-08 02:04:15,,33.0,3
f92bed82,05-08 06:35:02,LONG,,,,,MACRO_VIRTUAL_SL,05-08 07:24:30,,49.0,3
72d7c3b1,05-08 08:35:21,SHORT,,,,,MACRO_VAP_EXPIRED,05-08 12:35:21,,239.0,2
7a660a7c,05-08 12:35:34,SHORT,,,,,MACRO_VAP_SUPERSEDED,05-08 13:07:48,,32.0,2
b33e3911,05-08 13:07:48,LONG,,,,,MACRO_VIRTUAL_TP1,05-08 13:35:04,,27.0,3
ab390ce6,05-08 15:31:27,SHORT,,,,,,,,,1
