box_id,bars,first_ts,bias_native
4578,1,2025-07-01 00:00:00+00:00,bullish
4579,8,2025-07-01 01:00:00+00:00,bullish
4580,11,2025-07-01 23:30:00+00:00,bearish
4581,12,2025-07-02 10:00:00+00:00,unknown
4582,3,2025-07-02 16:30:00+00:00,bullish
4583,4,2025-07-02 18:30:00+00:00,bullish
4584,5,2025-07-02 22:30:00+00:00,unknown
4585,6,2025-07-03 09:30:00+00:00,unknown
4586,4,2025-07-04 03:30:00+00:00,bullish
4587,10,2025-07-04 07:30:00+00:00,unknown
4588,2,2025-07-04 14:30:00+00:00,unknown
4590,5,2025-07-07 13:30:00+00:00,unknown
4591,5,2025-07-07 16:30:00+00:00,bullish
4593,3,2025-07-08 17:30:00+00:00,bullish
4594,5,2025-07-09 02:30:00+00:00,bearish
4595,4,2025-07-09 12:30:00+00:00,unknown
4596,3,2025-07-09 19:00:00+00:00,bullish
4597,4,2025-07-09 22:30:00+00:00,bullish
4598,15,2025-07-10 01:00:00+00:00,bullish
4600,4,2025-07-10 18:30:00+00:00,bullish
4601,6,2025-07-11 00:00:00+00:00,bullish
4603,2,2025-07-11 19:00:00+00:00,bullish
4604,9,2025-07-13 22:30:00+00:00,bullish
4605,5,2025-07-14 12:00:00+00:00,unknown
4606,2,2025-07-14 17:30:00+00:00,bullish
4607,2,2025-07-14 20:30:00+00:00,bearish
4608,7,2025-07-15 00:00:00+00:00,bullish
4610,3,2025-07-15 23:30:00+00:00,bullish
4611,10,2025-07-16 03:30:00+00:00,unknown
4612,6,2025-07-16 10:30:00+00:00,bearish
4614,2,2025-07-16 19:30:00+00:00,bearish
4615,25,2025-07-17 00:00:00+00:00,bearish
4616,6,2025-07-17 13:00:00+00:00,unknown
4617,2,2025-07-17 16:30:00+00:00,bullish
4618,12,2025-07-17 22:30:00+00:00,unknown
4619,4,2025-07-18 05:30:00+00:00,unknown
4620,3,2025-07-18 17:00:00+00:00,bearish
4621,2,2025-07-18 20:00:00+00:00,bearish
4622,2,2025-07-20 23:00:00+00:00,bearish
4623,1,2025-07-21 00:30:00+00:00,bullish
4626,2,2025-07-21 17:00:00+00:00,bearish
4627,10,2025-07-21 23:00:00+00:00,unknown
4628,6,2025-07-22 05:00:00+00:00,bearish
4629,5,2025-07-22 08:30:00+00:00,unknown
4630,1,2025-07-22 12:00:00+00:00,bullish
4631,9,2025-07-23 01:00:00+00:00,unknown
4632,1,2025-07-23 12:30:00+00:00,unknown
4634,8,2025-07-24 01:00:00+00:00,bearish
4635,3,2025-07-24 06:00:00+00:00,bearish
4636,8,2025-07-24 12:00:00+00:00,unknown
4637,2,2025-07-24 16:30:00+00:00,bearish
4638,10,2025-07-25 02:00:00+00:00,bearish
4640,3,2025-07-25 17:30:00+00:00,bullish
4641,2,2025-07-28 03:30:00+00:00,unknown
4643,2,2025-07-28 12:30:00+00:00,bearish
4644,2,2025-07-28 17:30:00+00:00,bearish
4645,2,2025-07-28 20:00:00+00:00,bullish
4646,40,2025-07-28 22:30:00+00:00,unknown
4647,1,2025-07-29 22:00:00+00:00,bullish
4648,2,2025-07-30 00:30:00+00:00,bullish
4649,9,2025-07-30 05:00:00+00:00,bearish
4651,12,2025-07-31 07:30:00+00:00,unknown
4652,9,2025-07-31 14:00:00+00:00,bearish
4653,2,2025-07-31 19:30:00+00:00,bearish
4654,11,2025-07-31 23:30:00+00:00,bearish
4655,10,2025-08-01 05:30:00+00:00,unknown
4656,3,2025-08-01 11:00:00+00:00,bullish
4658,16,2025-08-01 20:00:00+00:00,bullish
4659,8,2025-08-04 06:00:00+00:00,unknown
4661,11,2025-08-05 05:00:00+00:00,unknown
4662,2,2025-08-05 17:00:00+00:00,bearish
4663,7,2025-08-06 00:00:00+00:00,unknown
4664,7,2025-08-06 04:30:00+00:00,unknown
4667,2,2025-08-07 00:30:00+00:00,bullish
4669,2,2025-08-07 17:30:00+00:00,bullish
4670,1,2025-08-07 20:00:00+00:00,bullish
4671,7,2025-08-08 08:30:00+00:00,unknown
4672,7,2025-08-08 12:30:00+00:00,bullish
4673,1,2025-08-08 18:00:00+00:00,bearish
4675,8,2025-08-11 00:00:00+00:00,bearish
4676,3,2025-08-11 06:00:00+00:00,bearish
4677,11,2025-08-11 11:00:00+00:00,bearish
4678,2,2025-08-11 19:30:00+00:00,bearish
4679,26,2025-08-11 22:00:00+00:00,unknown
4680,10,2025-08-12 12:00:00+00:00,unknown
4681,8,2025-08-13 00:30:00+00:00,bearish
4683,5,2025-08-13 18:00:00+00:00,bearish
4684,1,2025-08-13 23:30:00+00:00,bullish
4685,2,2025-08-14 07:30:00+00:00,unknown
4686,4,2025-08-14 13:00:00+00:00,bearish
4687,2,2025-08-14 19:00:00+00:00,bullish
4688,4,2025-08-14 22:00:00+00:00,bearish
4689,5,2025-08-15 01:30:00+00:00,bullish
4690,2,2025-08-15 17:00:00+00:00,bearish
4691,11,2025-08-17 22:00:00+00:00,unknown
4692,6,2025-08-18 04:00:00+00:00,bullish
4694,4,2025-08-18 12:30:00+00:00,bearish
4695,19,2025-08-18 23:30:00+00:00,unknown
4696,8,2025-08-19 10:30:00+00:00,unknown
4697,12,2025-08-19 23:30:00+00:00,bearish
4698,9,2025-08-20 06:00:00+00:00,bullish
4699,2,2025-08-20 11:00:00+00:00,bullish
4700,3,2025-08-20 19:00:00+00:00,bullish
4702,5,2025-08-20 23:30:00+00:00,bearish
4703,9,2025-08-21 12:30:00+00:00,unknown
4704,2,2025-08-21 17:30:00+00:00,bearish
4705,18,2025-08-22 01:00:00+00:00,bearish
4706,1,2025-08-22 13:30:00+00:00,unknown
4708,16,2025-08-25 00:00:00+00:00,bearish
4709,17,2025-08-25 08:30:00+00:00,unknown
4710,6,2025-08-25 18:30:00+00:00,bearish
4711,1,2025-08-25 23:00:00+00:00,bearish
4712,2,2025-08-26 03:30:00+00:00,bearish
4713,3,2025-08-26 08:00:00+00:00,unknown
4714,15,2025-08-26 10:00:00+00:00,unknown
4715,12,2025-08-27 03:30:00+00:00,unknown
4716,3,2025-08-27 10:00:00+00:00,bearish
4718,2,2025-08-27 23:00:00+00:00,bullish
4719,5,2025-08-28 08:30:00+00:00,unknown
4720,2,2025-08-28 18:30:00+00:00,bullish
4721,1,2025-08-29 13:30:00+00:00,unknown
4722,2,2025-09-01 01:00:00+00:00,unknown
4723,5,2025-09-01 06:00:00+00:00,unknown
4724,7,2025-09-01 22:00:00+00:00,unknown
4725,2,2025-09-02 14:30:00+00:00,unknown
4726,2,2025-09-02 19:00:00+00:00,bullish
4727,9,2025-09-03 00:00:00+00:00,bullish
4728,10,2025-09-03 06:30:00+00:00,unknown
4730,4,2025-09-03 19:00:00+00:00,bearish
4731,8,2025-09-03 22:30:00+00:00,bearish
4733,12,2025-09-04 11:30:00+00:00,bullish
4734,2,2025-09-04 18:00:00+00:00,bearish
4735,8,2025-09-04 22:30:00+00:00,unknown
4736,10,2025-09-05 07:30:00+00:00,unknown
4737,6,2025-09-05 20:30:00+00:00,bearish
4738,2,2025-09-08 06:00:00+00:00,unknown
4739,3,2025-09-08 10:30:00+00:00,bullish
4740,2,2025-09-08 12:30:00+00:00,bullish
4741,21,2025-09-08 22:30:00+00:00,unknown
4742,2,2025-09-09 09:30:00+00:00,bullish
4743,9,2025-09-09 12:30:00+00:00,unknown
4744,3,2025-09-09 19:30:00+00:00,bearish
4745,6,2025-09-10 00:30:00+00:00,unknown
4746,2,2025-09-10 04:30:00+00:00,bullish
4747,5,2025-09-10 07:00:00+00:00,bullish
4748,14,2025-09-10 10:00:00+00:00,unknown
4750,3,2025-09-10 20:00:00+00:00,bearish
4751,10,2025-09-11 00:00:00+00:00,unknown
4752,7,2025-09-11 05:30:00+00:00,unknown
4754,8,2025-09-12 01:00:00+00:00,bullish
4756,2,2025-09-12 06:30:00+00:00,bearish
4757,8,2025-09-12 08:00:00+00:00,bearish
4758,11,2025-09-12 12:30:00+00:00,unknown
4759,8,2025-09-12 19:30:00+00:00,bearish
4760,16,2025-09-15 06:00:00+00:00,unknown
4761,11,2025-09-15 23:30:00+00:00,unknown
4762,5,2025-09-16 06:30:00+00:00,bullish
4763,2,2025-09-16 22:00:00+00:00,bullish
4764,2,2025-09-16 23:30:00+00:00,bullish
4765,1,2025-09-17 01:00:00+00:00,bearish
4766,2,2025-09-17 16:00:00+00:00,unknown
4767,1,2025-09-17 18:00:00+00:00,unknown
4768,2,2025-09-18 04:30:00+00:00,unknown
4769,4,2025-09-18 08:30:00+00:00,unknown
4770,2,2025-09-18 12:30:00+00:00,bearish
4771,2,2025-09-18 19:30:00+00:00,bullish
4772,12,2025-09-18 23:00:00+00:00,unknown
4773,7,2025-09-19 13:30:00+00:00,unknown
4774,4,2025-09-19 17:30:00+00:00,bullish
4775,4,2025-09-21 22:00:00+00:00,bullish
4777,11,2025-09-22 12:00:00+00:00,unknown
4778,2,2025-09-22 18:00:00+00:00,bullish
4779,2,2025-09-23 00:00:00+00:00,unknown
4780,6,2025-09-23 01:30:00+00:00,unknown
4781,4,2025-09-23 05:30:00+00:00,bullish
4782,1,2025-09-23 08:30:00+00:00,bullish
4783,5,2025-09-23 14:00:00+00:00,bearish
4784,3,2025-09-23 17:00:00+00:00,unknown
4785,4,2025-09-23 19:00:00+00:00,bearish
4786,4,2025-09-24 05:00:00+00:00,unknown
4787,14,2025-09-24 07:30:00+00:00,unknown
4788,11,2025-09-25 00:30:00+00:00,unknown
4789,3,2025-09-25 06:30:00+00:00,bullish
4790,6,2025-09-25 18:00:00+00:00,bullish
4791,3,2025-09-25 23:30:00+00:00,bearish
4792,16,2025-09-26 06:00:00+00:00,unknown
