min_bars,window,strategy,n_total,n_blocked,block_rate,n_survive_scored,acc_mean_boot,acc_ci_lo,acc_ci_hi,block_mean_boot,block_ci_lo,block_ci_hi
4,8,recency_weighted,37234,20696,0.5558360638126444,16538,0.5393353835610569,0.5321829458469387,0.5464628014045527,0.5558825804372348,0.5507063436643928,0.5606434978782833
4,7,recency_weighted,37234,20268,0.5443411935327926,16966,0.5352002536750148,0.5282149921980573,0.5422836540080477,0.5444114787559756,0.5393430735349413,0.5493379706719665
5,7,recency_weighted,37234,13866,0.3724015684589354,23368,0.5317263611220036,0.5256116036347551,0.5380766178384051,0.3724811731213407,0.36743030563463497,0.3771291024332599
5,8,recency_weighted,37234,13939,0.37436214212816243,23295,0.5309469166723222,0.5248452648711402,0.5373218461711305,0.3744350862115271,0.36933783638609874,0.3793313906644465
6,7,recency_weighted,37234,13668,0.3670838480958264,23566,0.5307704138691308,0.5246605748411678,0.537141110185934,0.3671368910135897,0.3620884138153301,0.37194499650856744
6,8,recency_weighted,37234,13964,0.37503357146693883,23270,0.5307006078921735,0.5246496034490404,0.5370246791125518,0.37510262126013855,0.3700361228984262,0.380056534350325
7,7,recency_weighted,37234,15108,0.40575817800934627,22126,0.5271386296711573,0.5207483921343498,0.5337567327558511,0.40578729118547563,0.4005203577375517,0.4108086694956223
7,3,recency_weighted,37234,4527,0.12158242466562819,32707,0.5259797585003776,0.5210400772071643,0.531280657917519,0.12165555674920772,0.11811717784820325,0.12504700005371436
7,8,recency_weighted,37234,15544,0.4174679056776065,21690,0.5258548007562991,0.519310330588309,0.5325159906165134,0.41751933716495676,0.4120145565880647,0.4224640113874416
2,7,recency_weighted,37234,19793,0.5315840360960412,17441,0.5241245506965078,0.5173616254013911,0.531274535115255,0.5316203738518559,0.5268034592039533,0.5361779556319494
6,3,recency_weighted,37234,4572,0.12279099747542568,32662,0.5238894768907886,0.5190267674129871,0.5291432439927065,0.1228571198367084,0.11919146479024548,0.1262025299457485
2,4,recency_weighted,37234,14672,0.3940484503410861,22562,0.5234820730230718,0.5170128083193515,0.5298022743293259,0.39416858247837994,0.3894249879142719,0.39875047000053715
2,8,recency_weighted,37234,18775,0.5042434334210668,18459,0.5212439467618658,0.5143432448217342,0.5282858713716891,0.5043013643444164,0.49905999892571307,0.5089729816834075
6,5,recency_weighted,37234,10857,0.2915883332438094,26377,0.5204310547129412,0.5145542320860296,0.5260488906527262,0.2916236235698555,0.2868607992694849,0.2960741526561745
6,6,recency_weighted,37234,11064,0.2971477681688779,26170,0.5186897300962036,0.5128091865987625,0.5245130341966417,0.2972015899446742,0.29233966267390016,0.3016866304990063
7,5,recency_weighted,37234,10932,0.2936026212601386,26302,0.5161159012654739,0.5104240282890036,0.5222695361398779,0.29367830477520546,0.28917051619487566,0.2983321695224795
6,2,recency_weighted,37234,3769,0.10122468711392812,33465,0.5144523555425639,0.5096474884348073,0.5196219765693963,0.10129806091206961,0.0982428694204222,0.10442203362518128
7,6,recency_weighted,37234,12064,0.3240049417199334,25170,0.5140501099331738,0.5081959623174376,0.5199414505068167,0.324062040070903,0.31938416501047434,0.32857133265295163
5,4,recency_weighted,37234,8912,0.2393511306870065,28322,0.5139079559211159,0.5083981647613856,0.5195229576504062,0.23943653649889887,0.23505264006016005,0.243460278240318
7,2,recency_weighted,37234,3679,0.09880754149433314,33555,0.5138177380853619,0.5089733736211102,0.5190506971938474,0.09887855186120213,0.09579886662727614,0.10205793092334962
5,3,recency_weighted,37234,8894,0.2388677015630875,28340,0.5121362135646447,0.506576892689071,0.517741508099227,0.23895055594349254,0.234650453886233,0.24300370628995005
8,3,recency_weighted,37234,3617,0.09714239673416769,33617,0.511867563871892,0.5068954267372273,0.5169234588006736,0.0971806413493044,0.0941881076435516,0.10004364290702047
7,4,recency_weighted,37234,8689,0.23336198098512112,28545,0.5107521164223707,0.5053918817475916,0.516524187410949,0.23343280335177524,0.22903663318472364,0.23755237148842454
6,4,recency_weighted,37234,8441,0.22670140194445937,28793,0.5101874342982788,0.5049293071873934,0.5158216247628186,0.22676204544233763,0.22253854004404577,0.23089179244776278
2,2,recency_weighted,37234,14606,0.39227587688671645,22628,0.5084383606884191,0.5025683507348695,0.514722897254346,0.3923106837836386,0.38725224257399155,0.39729951119944135
3,2,recency_weighted,37234,13833,0.3715152817317505,23401,0.5076409748148243,0.5016373188000295,0.5139066742932299,0.3715676263630015,0.3666809904925606,0.3762716871676425
4,4,recency_weighted,37234,14243,0.3825267228876833,22991,0.5075548170117327,0.5017441909422979,0.5140847289679417,0.38261873556426923,0.37779918891335873,0.3873623569855508
5,5,recency_weighted,37234,12413,0.3333780952892518,24821,0.5069375192082698,0.5008284138707606,0.513025904338196,0.33337073642369874,0.3286230327120374,0.3379982005693721
8,7,recency_weighted,37234,14198,0.3813181500778858,23036,0.5064995328574979,0.5000205351123771,0.5131134655941766,0.3813123757855723,0.3760803298060912,0.38609872696997366
5,6,recency_weighted,37234,12812,0.3440941075361229,24422,0.505798230290263,0.49975086047890294,0.5120720455424563,0.34413211043669767,0.33928667347048397,0.34895592737820275
8,8,recency_weighted,37234,14634,0.393027877746146,22600,0.5048685302012098,0.4983147359687516,0.5115385644870307,0.3930444217650535,0.38764905731320837,0.39772989740559705
4,3,recency_weighted,37234,13939,0.37436214212816243,23295,0.5028516134185813,0.49704214301258715,0.5093286055627905,0.3744306816350647,0.36968832250093997,0.3792259762582586
3,4,recency_weighted,37234,14861,0.3991244561422356,22373,0.502002526760635,0.49592144980535247,0.5087410415050073,0.39920744480850834,0.39439692216791106,0.4038781758607724
8,2,recency_weighted,37234,2816,0.07562980071977225,34418,0.5009701068124263,0.495957202853041,0.5060223346380462,0.07566095504109148,0.0729440833646667,0.0783155180748778
4,2,recency_weighted,37234,11468,0.30799806628350435,25766,0.5000538309689356,0.49449954821718173,0.5061193046498239,0.3080610732126551,0.3035921469624537,0.3130203577375517
5,2,recency_weighted,37234,7722,0.20739109416125048,29512,0.4999203238927754,0.49454458555177083,0.5054370373697983,0.20745152280174034,0.20338803244346565,0.21141967019390878
8,5,recency_weighted,37234,10022,0.2691625933286781,27212,0.49901215975537644,0.49329006544287923,0.5047981029478935,0.26920338937530214,0.26473048826341516,0.2735409840468389
5,2,majority,37234,1485,0.0398829027233174,35749,0.49893455991644625,0.4939567641627033,0.5042062202378402,0.039923671912767904,0.037895471880539294,0.042112048128055
4,2,majority,37234,1786,0.047966911962185096,35448,0.4987924545944783,0.49383911584942536,0.503971706980727,0.04801058172637911,0.045925095342966106,0.05035854326690659
2,2,majority,37234,2579,0.0692646505881721,34655,0.4987443157611816,0.49373771792312743,0.504016041902341,0.06932397808454638,0.06671321910082183,0.07197923940484503
3,2,majority,37234,2433,0.065343503249718,34801,0.4983297595901115,0.4932875099072609,0.5035707565947554,0.06539659988182843,0.06292635763012301,0.06797550625772143
5,3,majority,37234,1837,0.04933662781328893,35397,0.49775914952385425,0.49279922371397333,0.5028930222266759,0.04937065585217812,0.0472417682763066,0.05170005908578181
4,6,recency_weighted,37234,18322,0.4920771338024386,18912,0.49764353892638336,0.49095407480511294,0.5046596143022257,0.49210758983724556,0.4869198850512972,0.49712695385937583
3,7,recency_weighted,37234,17710,0.47564054358919267,19524,0.497106749836216,0.49015766260544075,0.5035076791995189,0.47567365848418114,0.4710479669119622,0.48082464951388515
8,6,recency_weighted,37234,11154,0.2995649137884729,26080,0.49627655591160746,0.4903891616874845,0.501896865887976,0.2995871246709996,0.29505022291454047,0.30397083310952355
8,4,recency_weighted,37234,7779,0.20892195305366063,29455,0.4951169846614113,0.4896818592538789,0.5007131135126978,0.20895788795187195,0.20470537680614492,0.2128444432507923
3,8,recency_weighted,37234,17229,0.46272224311113497,20005,0.4932704808536579,0.4865763292646854,0.49982803121021785,0.46275471343395813,0.45791480904549603,0.4679338776387173
3,3,recency_weighted,37234,14699,0.3947735940269646,22535,0.49208399210872233,0.48610859906439996,0.4985857478053462,0.3948466186818499,0.3898855884406725,0.39974284256324866
2,5,recency_weighted,37234,18761,0.503867432991352,18473,0.489899947675456,0.4830873785905764,0.4970498464385719,0.5039024816028361,0.4989485416554762,0.5086755384863297
2,3,recency_weighted,37234,15091,0.40530160605897836,22143,0.48895042826642066,0.4828342113118468,0.4954222433976689,0.4053714078530375,0.4004391147875598,0.4101634259010582
3,3,majority,37234,6889,0.18501906859322126,30345,0.4872335051238716,0.48186674168613053,0.4926125732802733,0.18502621260138583,0.18125906429607347,0.18904898748455715
5,4,majority,37234,622,0.016705161948756514,36612,0.487208695683432,0.48232568564083966,0.49213855777263976,0.01670607509265725,0.015362303271203739,0.01807554922919912
