ts,direction,line_level,n_ineff,price_through_line
2023-02-01,1,1910.2,4,False
2023-03-01,1,1828.4499999999998,8,False
2023-04-01,-1,1977.4,18,True
2023-05-01,-1,2001.85,24,False
2023-06-01,1,1970.0,34,False
2023-07-01,-1,1928.6,37,False
2023-08-01,1,1981.9,45,True
2023-09-01,1,1958.5,49,False
2023-10-01,-1,1907.0,61,False
2023-11-01,1,1979.75,76,False
2023-12-01,1,2035.05,88,False
2024-01-01,1,2061.55,95,False
2024-02-01,1,2046.9499999999998,101,False
2024-03-01,1,2022.0500000000002,105,False
2024-04-01,1,2233.7,120,False
2024-05-01,-1,2364.05,126,False
2024-06-01,-1,2369.0,135,False
2024-07-01,-1,2341.3,137,True
2024-08-01,1,2466.15,148,False
2024-09-01,1,2521.7,152,False
2024-10-01,1,2666.6000000000004,159,False
2024-11-01,-1,2777.4,172,False
2024-12-01,-1,2668.7,186,True
2025-01-01,-1,2643.5,193,False
2025-02-01,1,2814.4,200,False
2025-03-01,-1,2899.7,203,False
2025-04-01,1,3127.45,214,False
2025-05-01,-1,3304.8999999999996,226,False
2025-06-01,1,3266.8,234,False
2025-07-01,-1,3322.05,241,True
2025-08-01,-1,3350.3,250,True
2025-09-01,1,3492.35,261,False
2025-10-01,1,3872.0,276,False
2025-11-01,-1,4050.95,289,False
2025-12-01,1,4225.05,298,False
2026-01-01,-1,4447.4,304,False
2026-02-01,1,4895.875,319,False
2026-03-01,1,5076.625,323,False
2026-04-01,1,4650.375,334,False
