ts,direction,line_level,n_ineff,price_through_line
2023-02-01,1,1939.5,40,False
2023-03-01,1,1827.3000000000002,78,False
2023-04-01,-1,1990.25,134,False
2023-05-01,-1,1996.5,178,False
2023-06-01,1,1979.95,233,False
2023-07-01,1,1921.55,274,False
2023-08-01,1,2000.65,310,True
2023-09-01,-1,1969.5500000000002,352,False
2023-10-01,-1,1867.1999999999998,406,False
2023-11-01,-1,1998.15,448,False
2023-12-01,1,2056.7,499,False
2024-01-01,-1,2081.05,537,False
2024-02-01,1,2039.05,578,False
2024-03-01,1,2048.75,618,False
2024-04-01,1,2260.55,662,False
2024-05-01,-1,2315.25,718,False
2024-06-01,-1,2359.3,770,False
2024-07-01,1,2330.9,820,False
2024-08-01,1,2477.8999999999996,883,False
2024-09-01,-1,2542.25,928,False
2024-10-01,-1,2667.4,966,False
2024-11-01,-1,2772.0,1022,False
2024-12-01,1,2672.55,1070,False
2025-01-01,1,2633.1,1116,False
2025-02-01,-1,2838.7,1169,False
2025-03-01,-1,2880.4,1216,False
2025-04-01,1,3133.15,1263,False
2025-05-01,-1,3293.85,1314,False
2025-06-01,-1,3332.3500000000004,1377,False
2025-07-01,1,3321.6499999999996,1420,False
2025-08-01,1,3339.9,1490,False
2025-09-01,1,3490.5,1543,False
2025-10-01,1,3865.8,1591,False
2025-11-01,-1,4019.8500000000004,1647,False
2025-12-01,1,4230.0,1686,False
2026-01-01,1,4366.1,1731,True
2026-02-01,1,4968.1,1776,False
2026-03-01,1,5265.85,1814,False
2026-04-01,1,4674.95,1857,False
