ts,direction,line_level,n_ineff,price_through_line
2023-02-01,1,1930.9,338,False
2023-03-01,-1,1832.85,571,False
2023-04-01,-1,1990.25,903,False
2023-05-01,-1,1996.15,1153,False
2023-06-01,1,1982.6,1486,False
2023-07-01,-1,1927.9,1766,False
2023-08-01,-1,2003.35,2015,False
2023-09-01,-1,1967.35,2269,False
2023-10-01,-1,1865.4499999999998,2543,False
2023-11-01,-1,1995.4,2826,False
2023-12-01,1,2057.6,3099,False
2024-01-01,-1,2073.8500000000004,3364,False
2024-02-01,1,2054.4,3662,False
2024-03-01,-1,2054.25,3934,False
2024-04-01,1,2262.45,4191,False
2024-05-01,-1,2304.95,4501,False
2024-06-01,1,2345.8,4790,False
2024-07-01,-1,2336.75,5070,False
2024-08-01,-1,2491.8,5366,False
2024-09-01,1,2533.4,5662,False
2024-10-01,1,2653.65,5936,False
2024-11-01,1,2754.1000000000004,6232,False
2024-12-01,-1,2674.6000000000004,6509,False
2025-01-01,1,2634.7,6789,False
2025-02-01,-1,2830.8500000000004,7091,True
2025-03-01,1,2865.8,7382,False
2025-04-01,1,3152.3999999999996,7692,False
2025-05-01,-1,3291.9,8025,False
2025-06-01,1,3310.15,8329,False
2025-07-01,1,3319.75,8663,False
2025-08-01,-1,3352.4,8989,False
2025-09-01,1,3513.75,9291,True
2025-10-01,1,3877.8999999999996,9629,False
2025-11-01,1,4004.7,9949,False
2025-12-01,1,4252.85,10235,False
2026-01-01,1,4344.299999999999,10527,True
2026-02-01,1,4970.475,10775,False
2026-03-01,1,5288.975,11069,False
2026-04-01,1,4716.825,11309,False
