ts,direction,level
2023-01-09 00:00:00+00:00,1,1866.8
2023-02-03 00:00:00+00:00,-1,1934.25
2023-03-01 00:00:00+00:00,1,1828.4499999999998
2023-03-08 00:00:00+00:00,-1,1839.65
2023-03-10 00:00:00+00:00,1,1829.35
2023-03-28 00:00:00+00:00,-1,1977.4
2023-04-05 00:00:00+00:00,1,2017.05
2023-04-10 00:00:00+00:00,-1,2023.8
2023-04-13 00:00:00+00:00,1,2025.4
2023-04-17 00:00:00+00:00,-1,2028.15
2023-05-03 00:00:00+00:00,1,2015.7
2023-05-08 00:00:00+00:00,-1,2037.8
2023-05-31 00:00:00+00:00,1,1970.0
2023-06-21 00:00:00+00:00,-1,1955.0500000000002
2023-07-12 00:00:00+00:00,1,1935.6
2023-08-03 00:00:00+00:00,-1,1976.4
2023-08-24 00:00:00+00:00,1,1936.2
2023-09-06 00:00:00+00:00,-1,1958.55
2023-09-18 00:00:00+00:00,1,1939.15
2023-09-26 00:00:00+00:00,-1,1937.55
2023-10-09 00:00:00+00:00,1,1850.5
2023-11-07 00:00:00+00:00,-1,1987.25
2023-11-15 00:00:00+00:00,1,1956.15
2023-12-11 00:00:00+00:00,-1,2030.15
2023-12-14 00:00:00+00:00,1,2025.8
2024-01-04 00:00:00+00:00,-1,2061.2
2024-01-29 00:00:00+00:00,1,2031.65
2024-02-14 00:00:00+00:00,-1,2017.1
2024-02-19 00:00:00+00:00,1,2022.0500000000002
2024-04-23 00:00:00+00:00,-1,2367.3500000000004
2024-05-10 00:00:00+00:00,1,2340.8
2024-05-23 00:00:00+00:00,-1,2397.1
2024-07-04 00:00:00+00:00,1,2352.55
2024-07-19 00:00:00+00:00,-1,2451.95
2024-07-29 00:00:00+00:00,1,2407.65
2024-10-09 00:00:00+00:00,-1,2650.1000000000004
2024-10-11 00:00:00+00:00,1,2644.1000000000004
2024-11-01 00:00:00+00:00,-1,2777.4
2024-11-19 00:00:00+00:00,1,2597.5
2024-11-26 00:00:00+00:00,-1,2668.7
2024-12-10 00:00:00+00:00,1,2674.3
2024-12-13 00:00:00+00:00,-1,2717.75
2025-01-03 00:00:00+00:00,1,2645.85
2025-02-17 00:00:00+00:00,-1,2922.4
2025-02-19 00:00:00+00:00,1,2926.35
2025-02-28 00:00:00+00:00,-1,2899.7
2025-03-13 00:00:00+00:00,1,2935.6
2025-04-24 00:00:00+00:00,-1,3378.05
2025-05-06 00:00:00+00:00,1,3304.55
2025-05-09 00:00:00+00:00,-1,3359.85
2025-05-21 00:00:00+00:00,1,3269.95
2025-06-09 00:00:00+00:00,-1,3360.65
2025-06-13 00:00:00+00:00,1,3390.95
2025-06-25 00:00:00+00:00,-1,3356.3500000000004
2025-07-02 00:00:00+00:00,1,3329.3999999999996
2025-07-25 00:00:00+00:00,-1,3383.6
2025-08-04 00:00:00+00:00,1,3382.3
2025-08-12 00:00:00+00:00,-1,3427.9
2025-08-25 00:00:00+00:00,1,3399.95
2025-09-18 00:00:00+00:00,-1,3709.55
2025-09-22 00:00:00+00:00,1,3712.7
2025-10-22 00:00:00+00:00,-1,4202.35
2025-11-11 00:00:00+00:00,1,4069.3
2025-11-17 00:00:00+00:00,-1,4128.05
2025-11-25 00:00:00+00:00,1,4103.85
2025-12-30 00:00:00+00:00,-1,4469.25
2026-01-06 00:00:00+00:00,1,4426.65
2026-02-13 00:00:00+00:00,-1,5037.974999999999
2026-02-23 00:00:00+00:00,1,5092.825000000001
2026-03-06 00:00:00+00:00,-1,5229.5
2026-03-31 00:00:00+00:00,1,4498.025
