ts,direction,level
2023-01-03 04:00:00+00:00,1,1841.1
2023-01-05 08:00:00+00:00,-1,1857.5500000000002
2023-01-06 04:00:00+00:00,1,1839.6
2023-01-11 16:00:00+00:00,-1,1883.9
2023-01-12 04:00:00+00:00,1,1882.55
2023-01-17 04:00:00+00:00,-1,1916.6
2023-01-18 12:00:00+00:00,1,1912.4
2023-01-18 20:00:00+00:00,-1,1911.2
2023-01-19 16:00:00+00:00,1,1918.7
2023-01-25 04:00:00+00:00,-1,1936.0
2023-01-25 20:00:00+00:00,1,1941.5
2023-01-27 04:00:00+00:00,-1,1927.15
2023-01-27 12:00:00+00:00,1,1929.35
2023-01-31 08:00:00+00:00,-1,1933.05
2023-01-31 16:00:00+00:00,1,1936.1
2023-02-02 16:00:00+00:00,-1,1953.9
2023-02-06 04:00:00+00:00,1,1884.6
2023-02-09 16:00:00+00:00,-1,1889.4
2023-02-14 04:00:00+00:00,1,1866.2
2023-02-15 04:00:00+00:00,-1,1861.85
2023-02-17 16:00:00+00:00,1,1840.3000000000002
2023-02-21 04:00:00+00:00,-1,1849.3000000000002
2023-02-28 16:00:00+00:00,1,1825.4
2023-03-02 04:00:00+00:00,-1,1841.9
2023-03-03 08:00:00+00:00,1,1847.9
2023-03-06 20:00:00+00:00,-1,1853.35
2023-03-09 16:00:00+00:00,1,1826.65
2023-03-21 08:00:00+00:00,-1,1976.95
2023-03-22 20:00:00+00:00,1,1961.35
2023-03-24 20:00:00+00:00,-1,1985.35
2023-03-28 16:00:00+00:00,1,1963.5
2023-03-29 04:00:00+00:00,-1,1971.35
2023-03-29 12:00:00+00:00,1,1974.5
2023-03-31 20:00:00+00:00,-1,1990.25
2023-04-03 12:00:00+00:00,1,1984.15
2023-04-06 04:00:00+00:00,-1,2034.6
2023-04-11 04:00:00+00:00,1,2010.1
2023-04-14 16:00:00+00:00,-1,2033.6
2023-04-24 20:00:00+00:00,1,1998.25
2023-04-25 08:00:00+00:00,-1,2002.0
2023-04-25 20:00:00+00:00,1,2005.75
2023-04-26 20:00:00+00:00,-1,2001.15
2023-04-27 04:00:00+00:00,1,2003.65
2023-04-27 16:00:00+00:00,-1,2002.65
2023-04-28 16:00:00+00:00,1,1995.1
2023-05-01 00:00:00+00:00,-1,1996.5
2023-05-02 16:00:00+00:00,1,2009.75
2023-05-05 08:00:00+00:00,-1,2051.9
2023-05-08 04:00:00+00:00,1,2027.1
2023-05-10 04:00:00+00:00,-1,2040.75
2023-05-15 04:00:00+00:00,1,2017.0
2023-05-16 08:00:00+00:00,-1,2016.6999999999998
2023-05-19 04:00:00+00:00,1,1962.3000000000002
2023-05-23 04:00:00+00:00,-1,1968.8
2023-05-23 16:00:00+00:00,1,1965.65
2023-05-24 16:00:00+00:00,-1,1971.1
2023-05-26 04:00:00+00:00,1,1945.15
2023-05-29 00:00:00+00:00,-1,1964.45
2023-05-30 12:00:00+00:00,1,1964.15
2023-06-02 16:00:00+00:00,-1,1985.4
2023-06-05 16:00:00+00:00,1,1967.7
2023-06-07 16:00:00+00:00,-1,1967.4
2023-06-08 16:00:00+00:00,1,1970.25
2023-06-12 16:00:00+00:00,-1,1973.5
2023-06-14 04:00:00+00:00,1,1958.05
2023-06-15 04:00:00+00:00,-1,1952.3
2023-06-15 16:00:00+00:00,1,1958.65
2023-06-16 16:00:00+00:00,-1,1972.05
2023-06-23 08:00:00+00:00,1,1926.05
2023-06-26 16:00:00+00:00,-1,1937.7
2023-06-30 16:00:00+00:00,1,1919.65
2023-07-03 08:00:00+00:00,-1,1922.15
2023-07-03 16:00:00+00:00,1,1925.35
2023-07-05 16:00:00+00:00,-1,1932.4499999999998
2023-07-07 08:00:00+00:00,1,1918.65
2023-07-20 16:00:00+00:00,-1,1977.6
2023-07-25 04:00:00+00:00,1,1959.35
2023-07-31 00:00:00+00:00,-1,1997.15
2023-07-31 12:00:00+00:00,1,1995.2
2023-08-01 04:00:00+00:00,-1,2001.1
2023-08-02 00:00:00+00:00,1,1983.25
2023-08-02 16:00:00+00:00,-1,1980.35
2023-08-04 16:00:00+00:00,1,1972.1999999999998
2023-08-07 04:00:00+00:00,-1,1975.7
2023-08-09 04:00:00+00:00,1,1961.0
2023-08-09 12:00:00+00:00,-1,1961.9499999999998
2023-08-22 08:00:00+00:00,1,1926.75
2023-08-31 16:00:00+00:00,-1,1969.75
2023-09-04 04:00:00+00:00,1,1968.15
2023-09-04 12:00:00+00:00,-1,1968.4
2023-09-08 04:00:00+00:00,1,1945.65
2023-09-08 16:00:00+00:00,-1,1945.3
2023-09-11 04:00:00+00:00,1,1945.35
2023-09-12 12:00:00+00:00,-1,1939.5
2023-09-15 04:00:00+00:00,1,1934.5500000000002
2023-09-21 00:00:00+00:00,-1,1951.85
2023-09-22 04:00:00+00:00,1,1941.95
2023-09-25 16:00:00+00:00,-1,1938.9
2023-10-06 16:00:00+00:00,1,1840.6999999999998
2023-10-10 08:00:00+00:00,-1,1874.15
2023-10-11 08:00:00+00:00,1,1878.0500000000002
2023-10-12 16:00:00+00:00,-1,1888.75
2023-10-13 04:00:00+00:00,1,1884.75
2023-10-16 00:00:00+00:00,-1,1940.1
