ts,direction,level
2023-01-03 00:30:00+00:00,1,1836.2
2023-01-03 08:30:00+00:00,-1,1849.15
2023-01-03 12:30:00+00:00,1,1839.65
2023-01-03 15:30:00+00:00,-1,1842.6
2023-01-03 17:30:00+00:00,1,1841.4
2023-01-03 23:30:00+00:00,-1,1844.4
2023-01-04 02:00:00+00:00,1,1847.95
2023-01-04 10:30:00+00:00,-1,1865.6
2023-01-04 13:30:00+00:00,1,1863.0
2023-01-04 18:00:00+00:00,-1,1860.45
2023-01-05 01:30:00+00:00,1,1861.65
2023-01-05 04:00:00+00:00,-1,1859.2
2023-01-05 17:30:00+00:00,1,1837.3
2023-01-06 05:00:00+00:00,-1,1842.95
2023-01-06 06:30:00+00:00,1,1842.75
2023-01-06 09:00:00+00:00,-1,1842.05
2023-01-06 14:00:00+00:00,1,1845.55
2023-01-06 21:00:00+00:00,-1,1872.65
2023-01-08 23:30:00+00:00,1,1871.85
2023-01-09 17:30:00+00:00,-1,1877.65
2023-01-10 01:30:00+00:00,1,1876.3000000000002
2023-01-10 12:30:00+00:00,-1,1878.35
2023-01-10 14:30:00+00:00,1,1878.65
2023-01-10 17:00:00+00:00,-1,1878.75
2023-01-10 19:30:00+00:00,1,1880.05
2023-01-11 01:30:00+00:00,-1,1879.5
2023-01-11 05:30:00+00:00,1,1883.1
2023-01-11 12:00:00+00:00,-1,1887.9
2023-01-11 17:00:00+00:00,1,1876.4499999999998
2023-01-12 23:00:00+00:00,-1,1900.4499999999998
2023-01-13 00:00:00+00:00,1,1900.6
2023-01-13 05:00:00+00:00,-1,1899.6
2023-01-13 06:30:00+00:00,1,1897.6
2023-01-13 11:30:00+00:00,-1,1906.9
2023-01-13 14:00:00+00:00,1,1901.9
2023-01-16 05:00:00+00:00,-1,1926.4499999999998
2023-01-16 09:30:00+00:00,1,1916.75
2023-01-16 17:00:00+00:00,-1,1917.6
2023-01-16 23:30:00+00:00,1,1919.35
2023-01-17 01:30:00+00:00,-1,1919.65
2023-01-17 08:00:00+00:00,1,1911.85
2023-01-17 17:30:00+00:00,-1,1912.0
2023-01-17 20:00:00+00:00,1,1909.55
2023-01-18 03:00:00+00:00,-1,1909.0
2023-01-18 06:30:00+00:00,1,1901.65
2023-01-18 15:30:00+00:00,-1,1920.65
2023-01-19 00:00:00+00:00,1,1907.7
2023-01-19 01:30:00+00:00,-1,1905.75
2023-01-19 03:00:00+00:00,1,1906.25
2023-01-19 09:30:00+00:00,-1,1913.35
