ts,old_daily_trend,new_daily_trend,new_source,new_n_closed_sessions,agree
2025-07-01T00:00:00+00:00,long,unknown,unknown_no_monotonic,6,False
2025-07-01T06:00:00+00:00,long,unknown,unknown_no_monotonic,6,False
2025-07-01T12:00:00+00:00,long,unknown,unknown_no_monotonic,6,False
2025-07-01T18:00:00+00:00,long,unknown,unknown_no_monotonic,6,False
2025-07-02T00:00:00+00:00,long,long,m30_resample_closed,7,True
2025-07-02T06:00:00+00:00,short,long,m30_resample_closed,7,False
2025-07-02T12:00:00+00:00,short,long,m30_resample_closed,7,False
2025-07-02T18:00:00+00:00,long,long,m30_resample_closed,7,True
2025-07-03T00:00:00+00:00,long,long,m30_resample_closed,8,True
2025-07-03T06:00:00+00:00,short,long,m30_resample_closed,8,False
2025-07-03T12:00:00+00:00,short,long,m30_resample_closed,8,False
2025-07-03T18:00:00+00:00,short,long,m30_resample_closed,8,False
2025-07-04T00:00:00+00:00,long,unknown,unknown_no_monotonic,9,False
2025-07-04T06:00:00+00:00,long,unknown,unknown_no_monotonic,9,False
2025-07-04T12:00:00+00:00,long,unknown,unknown_no_monotonic,9,False
2025-07-04T18:00:00+00:00,long,unknown,unknown_no_monotonic,9,False
2025-07-05T00:00:00+00:00,long,unknown,unknown_no_monotonic,10,False
2025-07-05T06:00:00+00:00,long,unknown,unknown_no_monotonic,10,False
2025-07-05T12:00:00+00:00,long,unknown,unknown_no_monotonic,10,False
2025-07-05T18:00:00+00:00,long,unknown,unknown_no_monotonic,10,False
2025-07-06T00:00:00+00:00,long,unknown,unknown_no_monotonic,10,False
2025-07-06T06:00:00+00:00,long,unknown,unknown_no_monotonic,10,False
2025-07-06T12:00:00+00:00,long,unknown,unknown_no_monotonic,10,False
2025-07-06T18:00:00+00:00,long,unknown,unknown_no_monotonic,10,False
2025-07-07T00:00:00+00:00,long,unknown,unknown_no_monotonic,10,False
2025-07-07T06:00:00+00:00,short,unknown,unknown_no_monotonic,10,False
2025-07-07T12:00:00+00:00,short,unknown,unknown_no_monotonic,10,False
2025-07-07T18:00:00+00:00,short,unknown,unknown_no_monotonic,10,False
2025-07-08T00:00:00+00:00,long,unknown,unknown_no_monotonic,11,False
2025-07-08T06:00:00+00:00,long,unknown,unknown_no_monotonic,11,False
2025-07-08T12:00:00+00:00,long,unknown,unknown_no_monotonic,11,False
2025-07-08T18:00:00+00:00,short,unknown,unknown_no_monotonic,11,False
2025-07-09T00:00:00+00:00,long,short,m30_resample_closed,12,False
2025-07-09T06:00:00+00:00,short,short,m30_resample_closed,12,True
2025-07-09T12:00:00+00:00,short,short,m30_resample_closed,12,True
2025-07-09T18:00:00+00:00,long,short,m30_resample_closed,12,False
2025-07-10T00:00:00+00:00,long,unknown,unknown_no_monotonic,13,False
2025-07-10T06:00:00+00:00,long,unknown,unknown_no_monotonic,13,False
2025-07-10T12:00:00+00:00,long,unknown,unknown_no_monotonic,13,False
2025-07-10T18:00:00+00:00,long,unknown,unknown_no_monotonic,13,False
2025-07-11T00:00:00+00:00,long,long,m30_resample_closed,14,True
2025-07-11T06:00:00+00:00,long,long,m30_resample_closed,14,True
2025-07-11T12:00:00+00:00,long,long,m30_resample_closed,14,True
2025-07-11T18:00:00+00:00,long,long,m30_resample_closed,14,True
2025-07-12T00:00:00+00:00,long,long,m30_resample_closed,15,True
2025-07-12T06:00:00+00:00,long,long,m30_resample_closed,15,True
2025-07-12T12:00:00+00:00,long,long,m30_resample_closed,15,True
2025-07-12T18:00:00+00:00,long,long,m30_resample_closed,15,True
2025-07-13T00:00:00+00:00,long,long,m30_resample_closed,15,True
2025-07-13T06:00:00+00:00,long,long,m30_resample_closed,15,True
2025-07-13T12:00:00+00:00,long,long,m30_resample_closed,15,True
2025-07-13T18:00:00+00:00,long,long,m30_resample_closed,15,True
2025-07-14T00:00:00+00:00,long,long,m30_resample_closed,15,True
2025-07-14T06:00:00+00:00,long,long,m30_resample_closed,15,True
2025-07-14T12:00:00+00:00,long,long,m30_resample_closed,15,True
2025-07-14T18:00:00+00:00,short,long,m30_resample_closed,15,False
2025-07-15T00:00:00+00:00,long,long,m30_resample_closed,16,True
2025-07-15T06:00:00+00:00,long,long,m30_resample_closed,16,True
2025-07-15T12:00:00+00:00,long,long,m30_resample_closed,16,True
