ts,baseline,ensemble,ensemble_signal_a,ensemble_signal_b,ensemble_signal_c,ensemble_source,fwd_5d_pts,fwd_10d_pts
2025-06-30 22:00:00+00:00,unknown,unknown,0,0,0,insufficient_history,-38.90000000000009,-19.40000000000009
2025-07-01 22:00:00+00:00,unknown,unknown,0,0,0,insufficient_history,-46.19999999999982,-14.5
2025-07-02 22:00:00+00:00,unknown,unknown,0,0,0,insufficient_history,-3.0,9.400000000000091
2025-07-03 22:00:00+00:00,unknown,unknown,0,0,0,insufficient_history,23.800000000000182,9.0
2025-07-06 22:00:00+00:00,unknown,unknown,0,0,0,insufficient_history,5.699999999999818,63.90000000000009
2025-07-07 22:00:00+00:00,short,unknown,0,0,0,insufficient_history,19.5,133.0
2025-07-08 22:00:00+00:00,unknown,unknown,0,0,0,insufficient_history,31.699999999999818,75.0
2025-07-09 22:00:00+00:00,long,unknown,0,0,0,insufficient_history,12.400000000000091,38.30000000000018
2025-07-10 22:00:00+00:00,long,unknown,0,0,0,insufficient_history,-14.800000000000182,-31.800000000000182
2025-07-13 22:00:00+00:00,unknown,unknown,0,0,0,insufficient_history,58.20000000000027,-38.09999999999991
2025-07-14 22:00:00+00:00,short,unknown,0,0,0,insufficient_history,113.5,-5.199999999999818
2025-07-15 22:00:00+00:00,unknown,unknown,1,0,0,unknown_no_signal,43.30000000000018,-26.299999999999727
2025-07-16 22:00:00+00:00,unknown,unknown,1,0,0,unknown_no_signal,25.90000000000009,-3.099999999999909
2025-07-17 22:00:00+00:00,unknown,unknown,1,0,0,unknown_no_signal,-17.0,60.5
2025-07-20 22:00:00+00:00,long,unknown,1,0,0,unknown_no_signal,-96.30000000000018,18.299999999999727
2025-07-21 22:00:00+00:00,long,unknown,1,0,0,unknown_no_signal,-118.69999999999982,-9.0
2025-07-22 22:00:00+00:00,unknown,unknown,1,0,0,unknown_no_signal,-69.59999999999991,34.30000000000018
2025-07-23 22:00:00+00:00,short,unknown,1,0,0,unknown_no_signal,-29.0,111.39999999999964
2025-07-24 22:00:00+00:00,short,unknown,-1,0,0,unknown_no_signal,77.5,119.69999999999982
2025-07-27 22:00:00+00:00,short,unknown,-1,1,-1,unknown_b_c_disagree,114.59999999999991,79.69999999999982
2025-07-28 22:00:00+00:00,unknown,unknown,-1,1,-1,unknown_b_c_disagree,109.69999999999982,74.29999999999973
