date,source,file_path,file_size_MB,row_count,first_ts_UTC,last_ts_UTC,coverage_hours,front_symbol
2025-07-01,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250701.mbp-10.csv.zst,74.77,99625,2025-07-01T00:00:00.019795240+00:00,2025-07-01T23:59:59.031997181+00:00,24.0,GCQ5
2025-07-02,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250702.mbp-10.csv.zst,68.72,81700,2025-07-02T00:00:00.044758201+00:00,2025-07-02T23:59:59.035407891+00:00,24.0,GCQ5
2025-07-03,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250703.mbp-10.csv.zst,72.06,90331,2025-07-03T00:00:00.008959565+00:00,2025-07-03T23:59:59.042125704+00:00,24.0,GCQ5
2025-07-04,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250704.mbp-10.csv.zst,29.72,35922,2025-07-04T00:00:00.172019647+00:00,2025-07-04T16:59:59.302550766+00:00,17.0,GCQ5
2025-07-06,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250706.mbp-10.csv.zst,2.75,4408,2025-07-06T22:00:00.179885342+00:00,2025-07-06T23:59:58.714400118+00:00,2.0,GCQ5
2025-07-07,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250707.mbp-10.csv.zst,79.66,103483,2025-07-07T00:00:00.147832220+00:00,2025-07-07T23:59:54.811904408+00:00,24.0,GCQ5
2025-07-08,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250708.mbp-10.csv.zst,80.37,111170,2025-07-08T00:00:00.137542900+00:00,2025-07-08T23:59:48.890320154+00:00,24.0,GCQ5
2025-07-09,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250709.mbp-10.csv.zst,66.91,85914,2025-07-09T00:00:00.149318920+00:00,2025-07-09T23:59:58.380967272+00:00,24.0,GCQ5
2025-07-10,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250710.mbp-10.csv.zst,62.26,81964,2025-07-10T00:00:00.172989977+00:00,2025-07-10T23:59:56.560622647+00:00,24.0,GCQ5
2025-07-11,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250711.mbp-10.csv.zst,82.05,110049,2025-07-11T00:00:01.557919037+00:00,2025-07-11T20:59:56.279611370+00:00,21.0,GCQ5
2025-07-13,databento_mbp10,C:\data\level2\_gc_xcec\GLBX-20260407-RQ5S6KR3E5\glbx-mdp3-20250713.mbp-10.csv.zst,4.45,7644,2025-07-13T22:00:00.194025798+00:00,2025-07-13T23:59:56.569508153+00:00,2.0,GCQ5
