trade_id,timestamp_entry,direction,session,entry_price,sl,tp1,tp2,lot_leg1,lot_leg2,lot_runner,iceberg_aligned,gate_score,gate_reason,gate_v4_status,leg1_result,leg1_exit_price,leg1_exit_time,leg2_result,leg2_exit_price,leg2_exit_time,leg3_result,leg3_exit_price,leg3_exit_time,total_pnl_usd,shield_activated,duration_minutes,mae_pts,mfe_pts
1,2026-04-01T01:06:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.02,0.02,0.01,True,3,iceberg large_order sc=+3,UNKNOWN,SL_HIT,4738.15,2026-04-01T01:10:00+00:00,SL_HIT,4738.15,2026-04-01T01:10:00+00:00,SL_HIT,4738.15,2026-04-01T01:10:00+00:00,-11.5,False,4.0,21.950000000000728,0.0
2,2026-04-01T01:51:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.02,0.02,0.01,True,6,iceberg large_order sc=+6,UNKNOWN,TP1_HIT,4695.15,2026-04-01T04:17:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,4.0,True,215.0,12.0,21.899999999999636
3,2026-04-01T01:56:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.02,0.02,0.01,True,6,iceberg large_order sc=+6,UNKNOWN,TP1_HIT,4695.15,2026-04-01T04:17:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,4.0,True,210.0,12.0,21.899999999999636
4,2026-04-01T02:00:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.01,0.01,0.01,False,0,sinais neutros -- nivel estrutural valido,UNKNOWN,TP1_HIT,4695.15,2026-04-01T04:17:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,2.0,True,206.0,12.0,21.899999999999636
5,2026-04-01T02:12:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.01,0.01,0.01,False,0,sinais neutros -- nivel estrutural valido,UNKNOWN,TP1_HIT,4695.15,2026-04-01T04:17:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,2.0,True,194.0,9.050000000000182,21.899999999999636
6,2026-04-01T02:20:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.02,0.02,0.01,True,6,iceberg large_order sc=+6,UNKNOWN,TP1_HIT,4695.15,2026-04-01T04:17:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,4.0,True,186.0,5.100000000000364,21.899999999999636
7,2026-04-01T02:55:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.02,0.02,0.01,True,3,iceberg large_order sc=+3,UNKNOWN,TP1_HIT,4695.15,2026-04-01T04:17:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,4.0,True,151.0,5.100000000000364,21.899999999999636
8,2026-04-01T03:01:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.02,0.02,0.01,True,3,iceberg large_order sc=+3,UNKNOWN,TP1_HIT,4695.15,2026-04-01T04:17:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,4.0,True,145.0,5.100000000000364,21.899999999999636
9,2026-04-01T03:10:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.02,0.02,0.01,True,7,iceberg absorption sc=+7,UNKNOWN,TP1_HIT,4695.15,2026-04-01T04:17:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,4.0,True,136.0,5.100000000000364,21.899999999999636
10,2026-04-01T03:15:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.02,0.02,0.01,True,7,iceberg absorption sc=+7,UNKNOWN,TP1_HIT,4695.15,2026-04-01T04:17:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,4.0,True,131.0,5.100000000000364,21.899999999999636
11,2026-04-01T03:20:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.02,0.02,0.01,True,7,iceberg absorption sc=+7,UNKNOWN,TP1_HIT,4695.15,2026-04-01T04:17:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,4.0,True,126.0,2.2000000000007276,21.899999999999636
12,2026-04-01T03:25:00+00:00,SHORT,Asian,4715.15,4735.15,4695.15,4665.15,0.01,0.01,0.01,False,0,sinais neutros -- nivel estrutural valido,UNKNOWN,TP1_HIT,4695.15,2026-04-01T04:17:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,SHIELD_HIT,4715.15,2026-04-01T05:26:00+00:00,2.0,True,121.0,2.0,21.899999999999636
13,2026-04-01T04:17:00+00:00,LONG,Asian,4695.25,4675.25,4715.25,4745.25,0.02,0.02,0.01,True,4,iceberg large_order sc=+4,UNKNOWN,TP1_HIT,4715.25,2026-04-01T05:26:00+00:00,TP2_HIT,4745.25,2026-04-01T06:47:00+00:00,WINDOW_END,4747.65,2026-04-01T08:17:00+00:00,19.24,True,240.0,2.0,78.60000000000036
14,2026-04-01T04:35:00+00:00,LONG,Asian,4695.25,4675.25,4715.25,4745.25,0.02,0.02,0.01,True,4,iceberg large_order sc=+4,UNKNOWN,TP1_HIT,4715.25,2026-04-01T05:26:00+00:00,TP2_HIT,4745.25,2026-04-01T06:47:00+00:00,WINDOW_END,4759.45,2026-04-01T08:35:00+00:00,20.42,True,240.0,0.0,78.60000000000036
15,2026-04-01T05:38:00+00:00,SHORT,Asian,4725.15,4745.15,4705.15,4675.15,0.02,0.02,0.01,True,3,iceberg large_order sc=+4,UNKNOWN,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,-11.5,False,69.0,22.899999999999636,15.599999999999454
16,2026-04-01T05:40:00+00:00,SHORT,Asian,4725.15,4745.15,4705.15,4675.15,0.02,0.02,0.01,True,3,iceberg large_order sc=+4,UNKNOWN,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,-11.5,False,67.0,22.899999999999636,15.599999999999454
17,2026-04-01T06:20:00+00:00,SHORT,Asian,4725.15,4745.15,4705.15,4675.15,0.02,0.02,0.01,True,2,iceberg sweep sc=+2,UNKNOWN,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,SL_HIT,4748.15,2026-04-01T06:47:00+00:00,-11.5,False,27.0,22.899999999999636,1.0
