event_type,n_events,bucket,n_minutes,abs_ret_mean_bps,abs_ret_p90_bps,abs_ret_p99_bps,ratio_vs_baseline,cohens_d_vs_baseline,signed_ret_mean_bps,signed_ret_std_bps,dom_imbalance_mean,dom_imbalance_std,bar_delta_mean,bid_pressure_mean,ask_pressure_mean
CPI,25,PRE_60,570,2.286,4.926,9.638,1.0,0.0,0.146,3.187,-0.3119,10.4904,2.139,6.958,7.157
CPI,25,DURING,19,22.226,75.328,75.328,9.723,3.906,20.402,27.093,2.7848,9.4203,196.947,6.593,6.312
CPI,25,POST_1_5,76,5.156,15.157,20.386,2.256,1.024,0.937,7.422,0.2463,14.1138,12.539,6.759,7.464
CPI,25,POST_5_15,190,4.396,9.714,18.049,1.923,0.774,-0.501,5.819,-2.308,14.9622,-0.916,6.65,6.67
CPI,25,POST_15_30,285,3.297,7.569,11.089,1.443,0.425,-0.13,4.231,-0.0225,13.2783,-3.27,6.689,6.813
CPI,25,POST_30_60,570,3.808,7.78,17.615,1.666,0.532,0.245,5.083,1.3891,15.0576,-4.123,6.465,6.952
FED_SPEECH,9,PRE_60,240,2.465,5.703,15.866,1.0,0.0,-0.143,3.827,-2.8734,9.4073,-1.819,5.321,6.212
FED_SPEECH,9,DURING,8,9.953,21.281,33.052,4.038,2.165,4.507,13.747,2.8684,7.9709,28.714,5.227,5.972
FED_SPEECH,9,POST_1_5,32,4.639,12.158,16.988,1.882,0.682,-0.008,6.541,3.129,10.1159,-9.857,5.328,5.262
FED_SPEECH,9,POST_5_15,80,3.676,8.877,13.063,1.491,0.399,0.871,4.849,-0.8232,9.7139,-14.129,5.464,5.491
FED_SPEECH,9,POST_15_30,120,3.247,6.739,9.369,1.317,0.282,1.215,3.858,-0.2943,10.6306,4.134,6.192,6.61
FED_SPEECH,9,POST_30_60,240,2.942,6.257,12.119,1.194,0.171,0.091,3.942,0.6048,11.4911,-4.365,7.224,8.469
FOMC,28,PRE_60,720,1.895,4.197,9.942,1.0,0.0,0.111,2.689,-1.8987,10.9599,-2.815,6.286,6.729
FOMC,28,DURING,24,3.666,14.363,17.194,1.935,0.837,-2.442,6.02,-5.3856,9.3632,6.15,5.32,6.303
FOMC,28,POST_1_5,96,4.193,10.188,21.253,2.213,0.944,0.996,6.282,-3.4787,13.6339,-11.262,5.417,5.505
FOMC,28,POST_5_15,240,3.785,8.348,19.552,1.998,0.684,-0.42,5.807,-1.7706,11.3087,1.941,6.145,6.319
FOMC,28,POST_15_30,360,3.149,7.318,15.613,1.662,0.516,-0.511,4.476,1.3057,11.2562,-0.929,6.216,6.84
FOMC,28,POST_30_60,720,4.079,10.301,20.186,2.153,0.612,-0.508,6.18,-1.5119,11.6729,1.674,5.997,6.504
GDP,8,PRE_60,180,1.751,3.726,7.565,1.0,0.0,0.142,2.367,-0.0435,9.4215,0.079,5.717,5.601
GDP,8,DURING,6,7.257,17.25,22.647,4.143,2.565,-7.183,8.102,-2.7603,11.167,-79.6,5.951,5.287
GDP,8,POST_1_5,24,3.487,8.454,14.824,1.991,0.856,0.366,5.237,3.7743,11.0522,-12.25,6.491,5.369
GDP,8,POST_5_15,60,2.464,6.055,13.818,1.407,0.356,-0.102,3.788,0.1674,9.9193,-6.7,5.553,5.764
GDP,8,POST_15_30,90,2.373,5.156,10.706,1.355,0.325,-0.806,3.274,0.599,10.9924,-9.364,5.572,5.406
GDP,8,POST_30_60,180,2.712,6.112,9.336,1.549,0.497,0.187,3.492,-1.2029,9.8929,-3.587,5.53,5.622
NFP,10,PRE_60,270,2.007,4.709,9.423,1.0,0.0,0.031,2.951,-0.5686,9.7866,1.989,8.121,8.625
NFP,10,DURING,9,16.134,44.527,58.033,8.039,3.248,5.694,25.882,-0.3016,11.05,116.556,8.147,8.155
NFP,10,POST_1_5,36,4.291,9.144,19.773,2.138,0.869,0.42,6.441,-2.341,14.2739,-4.972,8.408,8.62
NFP,10,POST_5_15,90,4.48,9.587,25.34,2.232,0.719,-0.142,7.283,-0.2329,12.8094,-8.833,9.237,8.979
NFP,10,POST_15_30,135,3.564,8.945,14.133,1.776,0.595,0.467,4.855,-3.8428,12.2481,1.719,10.776,8.981
NFP,10,POST_30_60,270,3.698,8.157,12.526,1.843,0.649,0.389,4.73,-2.6642,16.9318,-0.159,9.381,8.899
OTHER,18,PRE_60,420,2.319,5.186,8.695,1.0,0.0,0.184,3.073,-2.7126,9.4789,0.443,7.282,7.385
OTHER,18,DURING,14,4.35,11.308,12.98,1.876,0.953,2.174,5.587,-0.6581,8.4362,-6.571,7.706,9.355
OTHER,18,POST_1_5,56,3.888,7.155,16.602,1.677,0.688,1.664,5.055,-2.292,7.2393,-8.964,7.876,7.414
OTHER,18,POST_5_15,140,2.586,5.401,6.942,1.115,0.135,0.033,3.158,2.6352,9.0,-4.229,7.822,8.071
OTHER,18,POST_15_30,210,1.792,4.041,5.472,0.773,-0.285,0.233,2.27,-2.6343,10.4933,-3.6,7.695,7.739
OTHER,18,POST_30_60,420,3.202,6.817,12.803,1.381,0.341,0.387,4.401,0.7681,10.1818,-1.152,7.438,7.497
PPI,10,PRE_60,240,1.956,3.99,8.723,1.0,0.0,-0.116,3.064,0.0699,9.2764,-1.8,5.904,6.409
PPI,10,DURING,8,8.06,21.908,25.207,4.121,2.126,1.511,12.203,0.8402,10.6002,-17.571,5.422,5.329
PPI,10,POST_1_5,32,4.018,9.253,13.958,2.054,0.807,0.113,5.416,-0.5273,11.1711,-6.714,5.691,5.618
PPI,10,POST_5_15,80,3.342,7.947,18.5,1.709,0.47,-1.062,5.281,-0.7882,8.0977,-1.614,6.041,5.478
PPI,10,POST_15_30,120,3.034,7.28,12.86,1.551,0.42,0.106,4.206,-0.2497,9.7055,-5.543,6.033,5.596
PPI,10,POST_30_60,239,3.598,8.231,13.087,1.839,0.566,0.14,4.908,-0.781,10.4135,-0.9,5.681,5.683
UNEMPLOYMENT,9,PRE_60,240,2.14,4.978,9.675,1.0,0.0,0.018,3.102,-1.1124,9.7403,2.221,7.156,7.552
UNEMPLOYMENT,9,DURING,8,18.064,46.403,58.221,8.442,3.561,6.319,27.388,-1.8637,10.7426,131.25,7.289,6.703
UNEMPLOYMENT,9,POST_1_5,32,4.755,9.288,19.822,2.222,0.965,0.531,6.82,-2.3096,15.1107,-5.812,7.235,7.939
UNEMPLOYMENT,9,POST_5_15,80,4.849,10.998,27.377,2.266,0.758,-0.188,7.692,-0.2142,13.0364,-10.1,7.995,7.755
UNEMPLOYMENT,9,POST_15_30,120,3.786,9.192,14.212,1.769,0.608,0.483,5.09,-2.7711,11.6747,1.825,8.761,7.644
UNEMPLOYMENT,9,POST_30_60,240,3.907,8.711,12.588,1.826,0.658,0.365,4.945,-1.8333,16.0465,-0.346,7.909,7.676
