event_type,entry_offset_min,n,mae_mean,mae_p90,mfe_mean,mfe_p90,final_mean,mfe_mae_ratio
CPI,-30,19,12.223986086885924,26.49942584577292,36.71546254602934,77.54220651747134,21.328875412701443,3.004
CPI,-15,19,9.069307480013233,16.959238321927472,36.24923304532913,75.5642787046118,21.067506447829107,3.997
CPI,-10,19,7.028931940880817,13.39365438418949,36.61072210514897,73.83422866534373,21.514417350334373,5.209
CPI,-5,19,5.769013270027621,18.444146958203067,37.26028510015239,78.03680981595119,22.16495777664298,6.459
CPI,-3,19,5.839134889972348,21.709391542258373,37.14902872982093,80.01570860537211,22.054664649969162,6.362
FED_SPEECH,-30,8,19.977894246229756,31.567705496375666,35.494007039321986,72.51542764132046,30.318147629886106,1.777
FED_SPEECH,-15,8,14.797658058476742,29.869162672445658,36.11019754121564,65.26014076569984,33.382942680774406,2.44
FED_SPEECH,-10,8,8.607654258799696,21.1627623581736,40.4483691656804,71.9907049741133,37.72032093625491,4.699
FED_SPEECH,-5,8,8.410715102022404,19.596882007261062,37.85348034004571,73.41885427312444,35.214495913886424,4.501
FED_SPEECH,-3,8,7.261105614319446,17.089568143201724,38.362375206471015,74.19781929131862,36.36844439763185,5.283
FOMC,-30,24,21.52793093398928,28.166907622514394,21.715761807299398,61.03791341758536,-9.016017329776897,1.009
FOMC,-15,24,18.867030032410636,28.331869210241777,19.196260460495697,49.50080513789466,-9.268306000918594,1.017
FOMC,-10,24,19.527799071338325,34.56040141595318,17.417681863994467,47.32860154299743,-10.469835544175828,0.892
FOMC,-5,24,20.133136229223737,29.802206733104516,14.695380558326088,48.46828408685621,-12.023322302580675,0.73
FOMC,-3,24,18.981551828679645,28.409192343928687,15.43100126898215,49.980733724022336,-10.932106120596456,0.813
GDP,-30,6,32.80219885622844,58.65018401344513,7.5832624481098065,13.623328586663819,-21.651547018486742,0.231
GDP,-15,6,30.575623318295218,54.36003677529722,7.837120222214203,11.031161492142116,-19.4253471621153,0.256
GDP,-10,6,30.428213683467707,54.95464849460286,7.983185794629236,14.263981173294749,-19.27471253907039,0.262
GDP,-5,6,29.77888483113922,54.79192482269801,7.46246877270836,14.070530034594464,-19.029898916015178,0.251
GDP,-3,6,31.070494904904546,57.428498774032555,6.114807859339081,17.12411126127855,-20.320156297621477,0.197
NFP,-30,9,29.40076062320582,100.54195758337815,47.362168109695226,105.83085810546545,21.84264204411991,1.611
NFP,-15,9,27.308020922473222,90.13566631478498,35.92549531912952,108.72466151670501,14.189677549459631,1.316
NFP,-10,9,27.783097833373493,71.6339984071377,32.48146723852639,109.30931975517043,12.34411940924872,1.169
NFP,-5,9,27.648665965468567,82.76653504736987,31.855379685767414,107.46443976898013,12.468543178389845,1.152
NFP,-3,9,24.582548638184296,77.71792843470317,32.985257306464476,107.44824912201568,15.181682835207798,1.342
OTHER,-30,14,13.920212279524716,30.891671266386492,15.237881121393317,23.30916119311067,10.369272439895001,1.095
OTHER,-15,14,7.975128123807186,19.203616408671092,20.285980916646206,33.68413668996251,15.417707578058478,2.544
OTHER,-10,14,4.318673665918903,13.847480689766835,20.96365704230964,29.290548089280225,16.094011174160475,4.854
OTHER,-5,14,5.346268733325158,13.386097945097156,18.620351464012167,26.381907523481686,13.752764425614446,3.483
OTHER,-3,14,4.452038300310569,13.46343445407295,18.51479370940006,27.829856166612604,13.647946234995718,4.159
PPI,-30,8,26.424925432346203,55.37448642427833,11.548603252941048,17.799664663320947,-11.065832293182808,0.437
PPI,-15,8,26.458882557055666,60.40773741666538,8.340262645300244,13.434327997071225,-12.59685024025639,0.315
PPI,-10,8,28.288870413056692,65.7440255378614,6.394300911824469,12.684388277462542,-14.53873724449342,0.226
PPI,-5,8,26.336596718478376,53.34100887779391,5.422535183229327,11.709219929793456,-12.581266867357499,0.206
PPI,-3,8,20.45214755895433,43.32435904230636,10.449415547314212,18.69091017924451,-6.691968155494998,0.511
UNEMPLOYMENT,-30,8,32.727569270345896,101.33896981469948,48.52252456967826,109.41831154506221,19.813057745906026,1.483
UNEMPLOYMENT,-15,8,30.721523537782375,92.30596608034725,38.330918100563935,111.79925420292201,13.878123109685308,1.248
UNEMPLOYMENT,-10,8,30.79290418547015,77.58814192014705,35.29712078620267,111.55569413238186,12.64260447826529,1.146
UNEMPLOYMENT,-5,8,30.294582779819418,86.9616559267723,34.940332168941765,109.48877454755967,13.130141098142008,1.153
UNEMPLOYMENT,-3,8,27.10549687159697,82.10288976131774,35.95079268796098,110.30471276380194,15.921771407797214,1.326
