importance,bucket,n,mean_abs_ret_bps,ratio_vs_baseline,p90_abs_ret_bps,p99_abs_ret_bps
HIGH,DURING,66,14.77,4.49,37.57,75.33
HIGH,POST_NEWS_30,1650,2.0,0.61,4.24,9.84
HIGH,POST_NEWS_5,330,1.93,0.59,3.84,6.84
HIGH,POST_NEWS_60,1914,1.71,0.52,3.75,7.73
HIGH,PRE_NEWS_30,1650,3.6,1.1,8.65,17.49
HIGH,PRE_NEWS_5,330,4.71,1.43,10.84,20.39
HIGH,PRE_NEWS_60,1979,3.65,1.11,8.26,19.08
LOW,DURING,70,5.55,1.69,12.76,30.29
LOW,POST_NEWS_30,1750,2.77,0.84,5.95,12.07
LOW,POST_NEWS_5,350,2.37,0.72,5.15,8.86
LOW,POST_NEWS_60,2030,2.44,0.74,5.37,9.81
LOW,PRE_NEWS_30,1750,2.92,0.89,6.19,14.07
LOW,PRE_NEWS_5,350,3.32,1.01,7.23,12.63
LOW,PRE_NEWS_60,2099,3.11,0.95,6.81,13.35
MEDIUM,DURING,63,7.23,2.2,23.26,47.9
MEDIUM,POST_NEWS_30,1575,2.6,0.79,5.71,11.45
MEDIUM,POST_NEWS_5,315,2.22,0.68,4.38,9.67
MEDIUM,POST_NEWS_60,1826,2.12,0.64,4.94,9.67
MEDIUM,PRE_NEWS_30,1575,2.95,0.9,6.35,12.1
MEDIUM,PRE_NEWS_5,315,3.31,1.01,7.87,12.93
MEDIUM,PRE_NEWS_60,1887,3.1,0.94,6.86,13.87
