importance,bucket,n,mean_abs_ret_bps,median_abs_ret_bps,p90_abs_ret_bps,p99_abs_ret_bps,std_ret_bps
HIGH,DURING,66,14.77,4.76,37.57,75.33,23.43
HIGH,POST_NEWS_30,1650,2.0,1.37,4.24,9.84,2.92
HIGH,POST_NEWS_5,330,1.93,1.49,3.84,6.84,2.49
HIGH,POST_NEWS_60,1914,1.71,1.19,3.75,7.73,2.37
HIGH,PRE_NEWS_30,1650,3.6,2.44,8.65,17.49,5.2
HIGH,PRE_NEWS_5,330,4.71,3.23,10.84,20.39,6.69
HIGH,PRE_NEWS_60,1979,3.65,2.54,8.26,19.08,5.36
LOW,DURING,70,5.55,2.95,12.76,30.29,9.25
LOW,POST_NEWS_30,1750,2.77,2.09,5.95,12.07,3.8
LOW,POST_NEWS_5,350,2.37,1.99,5.15,8.86,3.12
LOW,POST_NEWS_60,2030,2.44,1.83,5.37,9.81,3.31
LOW,PRE_NEWS_30,1750,2.92,2.11,6.19,14.07,4.18
LOW,PRE_NEWS_5,350,3.32,2.41,7.23,12.63,4.45
LOW,PRE_NEWS_60,2099,3.11,2.31,6.81,13.35,4.29
MEDIUM,DURING,63,7.23,3.38,23.26,47.9,13.02
MEDIUM,POST_NEWS_30,1575,2.6,1.89,5.71,11.45,3.54
MEDIUM,POST_NEWS_5,315,2.22,1.79,4.38,9.67,2.95
MEDIUM,POST_NEWS_60,1826,2.12,1.48,4.94,9.67,3.01
MEDIUM,PRE_NEWS_30,1575,2.95,2.11,6.35,12.1,4.1
MEDIUM,PRE_NEWS_5,315,3.31,2.23,7.87,12.93,4.59
MEDIUM,PRE_NEWS_60,1887,3.1,2.15,6.86,13.87,4.32
